route_id,route_name,stop_sequence,stop_name,lat,lon
5496,C-02:- Sawariya Temple to Netralay,6,Azad Nagar,22.70066000,75.88506000
5496,C-02:- Sawariya Temple to Netralay,7,M.Y. Std / MY Chauraha/White Church/Dental Clg,22.71262000,75.8795
5496,C-02:- Sawariya Temple to Netralay,8,M.Y. Hospital Gate,22.71296000,75.87857000
5496,C-02:- Sawariya Temple to Netralay,9,Madhu Milan,22.71397000,75.87477000
5496,C-02:- Sawariya Temple to Netralay,10,Chhoti Gwaltoli,22.71586000,75.87085000
5496,C-02:- Sawariya Temple to Netralay,11,Patel Bridge,22.71506000,75.87056000
5496,C-02:- Sawariya Temple to Netralay,12,Saifee Hotel,22.71611000,75.8640
5496,C-02:- Sawariya Temple to Netralay,13,Sanjay Setu_2,22.71645000,75.86005000
5496,C-02:- Sawariya Temple to Netralay,14,Gurudwara,22.71626000,75.85539000
5496,C-02:- Sawariya Temple to Netralay,15,Pipli Bazar,22.71615000,75.85373000
5496,C-02:- Sawariya Temple to Netralay,16,Narsingh Bazar,22.71563000,75.85033000
5496,C-02:- Sawariya Temple to Netralay,17,Malganj,22.71535000,75.84527000
5496,C-02:- Sawariya Temple to Netralay,18,Rajmohalla,22.71519000,75.84062000
5496,C-02:- Sawariya Temple to Netralay,19,Gangwal Bus Stand,22.71313000,75.84063000
5496,C-02:- Sawariya Temple to Netralay,20,Timber Market,22.71139000,75.83457000
5496,C-02:- Sawariya Temple to Netralay,21,Jila Hospital,22.70956000,75.83054000
5496,C-02:- Sawariya Temple to Netralay,22,Chandan Nagar,22.70725000,75.82426000
5496,C-02:- Sawariya Temple to Netralay,23,Sirpur,22.70642000,75.82118000
5496,C-02:- Sawariya Temple to Netralay,24,Noorani Nagar,22.70389000,75.81209000
5496,C-02:- Sawariya Temple to Netralay,25,Baank,22.70107000,75.80219000
5496,C-02:- Sawariya Temple to Netralay,26,Abhinandan Pump,22.69995000,75.79824000
5496,C-02:- Sawariya Temple to Netralay,27,Vidhyanjali School,22.69804000,75.79378000
5496,C-02:- Sawariya Temple to Netralay,28,Jawahar Tekri,22.69676000,75.78635000
5488,C-03:- Hatod to Tejaji Nagar,1,Hatod,22.79406000,75.74192000
5488,C-03:- Hatod to Tejaji Nagar,2,Budhaniya,22.77079000,75.7649
5488,C-03:- Hatod to Tejaji Nagar,3,Pitra Parvat,22.7540,75.77168000
5488,C-03:- Hatod to Tejaji Nagar,4,GOMATGIRI TEMPLE,22.7457,75.77553000
5488,C-03:- Hatod to Tejaji Nagar,5,Gandhi Nagar,22.73908000,75.79089000
5488,C-03:- Hatod to Tejaji Nagar,6,B C School,22.73232000,75.80077000
5488,C-03:- Hatod to Tejaji Nagar,7,Airport,22.72978000,75.81067000
5488,C-03:- Hatod to Tejaji Nagar,8,Panchsheel,22.72894000,75.8150
5488,C-03:- Hatod to Tejaji Nagar,9,Vidhyadham,22.72574000,75.82043000
5488,C-03:- Hatod to Tejaji Nagar,10,Kalani Nagar,22.7248,75.82447000
5488,C-03:- Hatod to Tejaji Nagar,11,Tirupati Nagar,22.72351000,75.82969000
5488,C-03:- Hatod to Tejaji Nagar,12,Ramchandra Pump / APTC,22.72214000,75.8346
5488,C-03:- Hatod to Tejaji Nagar,13,Badaganpati,22.72056000,75.84171000
5488,C-03:- Hatod to Tejaji Nagar,14,Antim Chauraha,22.71787000,75.84091000
5488,C-03:- Hatod to Tejaji Nagar,15,Rajmohalla,22.71519000,75.84062000
5488,C-03:- Hatod to Tejaji Nagar,16,Malganj,22.71535000,75.84527000
5488,C-03:- Hatod to Tejaji Nagar,17,Narsingh Bazar,22.71563000,75.85033000
5488,C-03:- Hatod to Tejaji Nagar,18,Gurudwara,22.71626000,75.85539000
5488,C-03:- Hatod to Tejaji Nagar,19,Rajwada,22.71842000,75.85562000
5488,C-03:- Hatod to Tejaji Nagar,20,Gandhi Hall/Palika Plaza_1,22.71976000,75.86529000
5488,C-03:- Hatod to Tejaji Nagar,21,Railway Station,22.71768000,75.86885000
5488,C-03:- Hatod to Tejaji Nagar,22,Madhu Milan,22.71397000,75.87477000
5488,C-03:- Hatod to Tejaji Nagar,23,M.Y. Hospital Gate,22.71296000,75.87857000
5488,C-03:- Hatod to Tejaji Nagar,24,Nehru Stadium/MY Hospital Bus Std,22.71139000,75.88066000
5488,C-03:- Hatod to Tejaji Nagar,25,GPO City Bus,22.70746000,75.87884000
5488,C-03:- Hatod to Tejaji Nagar,26,Navlakha Chouraha,22.69931000,75.87791000
5488,C-03:- Hatod to Tejaji Nagar,27,Holkar City Bus,22.69419000,75.8705
5488,C-03:- Hatod to Tejaji Nagar,28,Tantya Bheel Chouraha (Bhawarkua),22.69268000,75.86781000
5488,C-03:- Hatod to Tejaji Nagar,29,Ashram Chauraha/IT Park,22.68538000,75.87344000
5488,C-03:- Hatod to Tejaji Nagar,30,IET/SOPA,22.6809,75.87598000
5488,C-03:- Hatod to Tejaji Nagar,31,Ranjeet Singh College,22.6792,75.87691000
5488,C-03:- Hatod to Tejaji Nagar,32,Radhaswami,22.67508000,75.87926000
5488,C-03:- Hatod to Tejaji Nagar,33,Limbodi/Ashram,22.66851000,75.8819
5488,C-03:- Hatod to Tejaji Nagar,34,Power House_1,22.66012000,75.88457000
5488,C-03:- Hatod to Tejaji Nagar,35,Machli Farm,22.6569,75.88516000
5488,C-03:- Hatod to Tejaji Nagar,36,Pushpkunj,22.65269000,75.88601000
5488,C-03:- Hatod to Tejaji Nagar,37,Kasturba Gram,22.64545000,75.88745000
5488,C-03:- Hatod to Tejaji Nagar,38,Tejaji Nagar,22.63999000,75.88834000
5501,C-03:- Tejaji Nagar to Hatod,1,Tejaji Nagar,22.63999000,75.88834000
5501,C-03:- Tejaji Nagar to Hatod,2,Kasturba Gram,22.64545000,75.88745000
5501,C-03:- Tejaji Nagar to Hatod,3,Pushpkunj,22.65269000,75.88601000
5501,C-03:- Tejaji Nagar to Hatod,4,Machli Farm,22.6569,75.88516000
5501,C-03:- Tejaji Nagar to Hatod,5,Power House_1,22.66012000,75.88457000
5501,C-03:- Tejaji Nagar to Hatod,6,Limbodi/Ashram,22.66851000,75.8819
5501,C-03:- Tejaji Nagar to Hatod,7,Radhaswami,22.67508000,75.87926000
5501,C-03:- Tejaji Nagar to Hatod,8,Ranjeet Singh College,22.6792,75.87691000
5501,C-03:- Tejaji Nagar to Hatod,9,IET/SOPA,22.6809,75.87598000
